"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at age 60 (years)","Published","2015","Americas","Antigua and Barbuda","Both sexes","20.4","20.43042","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Antigua and Barbuda","Both sexes","76.5","76.45393","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Antigua and Barbuda","Both sexes","67.0","66.97486","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Antigua and Barbuda","Both sexes","20.6","20.58658","","","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Australia","Male","77.1","77.12505","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Australia","Male","67.2","67.16424","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Australia","Male","21.2","21.21776","","","","",""
"Life expectancy at birth (years)","Published","2010","Western Pacific","Australia","Male","79.8","79.83740","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Western Pacific","Australia","Male","69.2","69.16231","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Western Pacific","Australia","Male","23.3","23.28758","","","","",""
"Life expectancy at birth (years)","Published","2015","Western Pacific","Australia","Male","80.4","80.40707","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Western Pacific","Australia","Male","69.7","69.74165","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Western Pacific","Australia","Male","23.7","23.71678","","","","",""
"Life expectancy at birth (years)","Published","2019","Western Pacific","Australia","Male","81.3","81.25240","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Western Pacific","Australia","Male","70.2","70.15115","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Western Pacific","Australia","Male","24.4","24.36551","","","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Australia","Female","82.2","82.24073","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Australia","Female","70.0","69.97304","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Australia","Female","24.9","24.85136","","","","",""
"Life expectancy at birth (years)","Published","2010","Western Pacific","Australia","Female","84.0","83.98511","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Western Pacific","Australia","Female","71.2","71.18860","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Western Pacific","Australia","Female","26.1","26.12805","","","","",""
"Life expectancy at birth (years)","Published","2015","Western Pacific","Australia","Female","84.2","84.16809","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Western Pacific","Australia","Female","71.4","71.40141","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Western Pacific","Australia","Female","26.3","26.26551","","","","",""
"Life expectancy at birth (years)","Published","2019","Western Pacific","Australia","Female","84.8","84.84017","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Western Pacific","Australia","Female","71.7","71.73072","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Western Pacific","Australia","Female","26.8","26.82651","","","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Australia","Both sexes","79.7","79.69334","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Australia","Both sexes","68.6","68.57265","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Australia","Both sexes","23.1","23.10601","","","","",""
"Life expectancy at birth (years)","Published","2010","Western Pacific","Australia","Both sexes","81.9","81.90430","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Western Pacific","Australia","Both sexes","70.2","70.16705","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Western Pacific","Australia","Both sexes","24.7","24.73881","","","","",""
"Life expectancy at birth (years)","Published","2015","Western Pacific","Australia","Both sexes","82.3","82.27830","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Western Pacific","Australia","Both sexes","70.6","70.56129","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Western Pacific","Australia","Both sexes","25.0","25.00940","","","","",""
"Life expectancy at birth (years)","Published","2019","Western Pacific","Australia","Both sexes","83.0","83.04064","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Western Pacific","Australia","Both sexes","70.9","70.93405","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Western Pacific","Australia","Both sexes","25.6","25.61516","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Austria","Male","75.1","75.09416","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Austria","Male","66.3","66.34692","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Austria","Male","19.7","19.72970","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Austria","Male","77.6","77.64973","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Austria","Male","68.3","68.33723","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Austria","Male","21.4","21.43645","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Austria","Male","78.6","78.60368","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Austria","Male","69.2","69.16929","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Austria","Male","21.8","21.79523","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Austria","Male","79.4","79.44242","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Austria","Male","69.9","69.93386","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Austria","Male","22.4","22.42696","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Austria","Female","81.0","80.98243","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Austria","Female","69.8","69.81113","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Austria","Female","23.7","23.69390","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Austria","Female","83.0","82.98865","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Austria","Female","71.4","71.40390","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Austria","Female","25.2","25.16038","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Austria","Female","83.3","83.28748","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Austria","Female","71.6","71.56104","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Austria","Female","25.2","25.21209","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Austria","Female","83.8","83.78033","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Austria","Female","71.9","71.89631","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Austria","Female","25.6","25.59926","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Austria","Both sexes","78.2","78.16925","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Austria","Both sexes","68.2","68.17779","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Austria","Both sexes","22.0","21.95156","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Austria","Both sexes","80.4","80.38560","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Austria","Both sexes","69.9","69.91590","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Austria","Both sexes","23.4","23.43472","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Austria","Both sexes","81.0","80.98208","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Austria","Both sexes","70.4","70.39115","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Austria","Both sexes","23.6","23.59105","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Austria","Both sexes","81.6","81.64519","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Austria","Both sexes","70.9","70.94293","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Austria","Both sexes","24.1","24.09157","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Azerbaijan","Male","62.6","62.57429","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Azerbaijan","Male","56.6","56.62009","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Azerbaijan","Male","15.1","15.12332","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Azerbaijan","Male","66.3","66.28625","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Azerbaijan","Male","60.1","60.06379","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Azerbaijan","Male","15.0","14.95343","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Azerbaijan","Male","67.9","67.94234","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Azerbaijan","Male","61.5","61.49538","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Azerbaijan","Male","15.1","15.13816","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Azerbaijan","Male","68.8","68.78060","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Azerbaijan","Male","62.1","62.08076","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Azerbaijan","Male","15.6","15.64735","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Azerbaijan","Female","68.5","68.49670","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Azerbaijan","Female","60.4","60.41421","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Azerbaijan","Female","17.9","17.87904","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Azerbaijan","Female","71.8","71.82773","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Azerbaijan","Female","63.4","63.40581","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Azerbaijan","Female","17.6","17.64102","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Azerbaijan","Female","73.4","73.42561","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Azerbaijan","Female","64.7","64.71699","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Azerbaijan","Female","17.9","17.94670","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Azerbaijan","Female","74.1","74.09107","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Azerbaijan","Female","65.2","65.22366","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Azerbaijan","Female","18.3","18.32116","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Azerbaijan","Both sexes","65.5","65.52002","","","","",""
